[PERF] units H:32 E:42 | tick avg 1.07ms max 10.78ms (n=300) | move 169.5ms | target 0.2ms (98 calls) | path 127.5ms max 4.82ms (32 calls) | fog 55.0ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:42 | tick avg 1.03ms max 6.03ms (n=300) | move 156.1ms | target 0.2ms (75 calls) | path 114.8ms max 4.71ms (28 calls) | fog 54.7ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:42 | tick avg 1.10ms max 6.75ms (n=300) | move 171.5ms | target 0.2ms (96 calls) | path 127.2ms max 5.24ms (33 calls) | fog 55.8ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:42 | tick avg 1.02ms max 10.76ms (n=300) | move 157.3ms | target 0.2ms (94 calls) | path 115.0ms max 4.80ms (27 calls) | fog 49.7ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:44 | tick avg 1.17ms max 10.05ms (n=300) | move 219.1ms | target 0.2ms (89 calls) | path 170.3ms max 4.92ms (43 calls) | fog 55.2ms | minimap 0.3ms | ai 1.6ms | window 5.0s
[PERF] units H:32 E:45 | tick avg 1.16ms max 13.16ms (n=300) | move 249.8ms | target 0.2ms (115 calls) | path 194.5ms max 4.96ms (52 calls) | fog 55.8ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:45 | tick avg 1.20ms max 10.29ms (n=300) | move 259.8ms | target 0.3ms (119 calls) | path 210.1ms max 5.01ms (52 calls) | fog 56.6ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:45 | tick avg 1.14ms max 15.65ms (n=300) | move 249.9ms | target 0.2ms (96 calls) | path 200.7ms max 5.38ms (50 calls) | fog 50.6ms | minimap 0.3ms | ai 0.2ms | window 5.0s
[PERF] units H:32 E:45 | tick avg 1.21ms max 10.73ms (n=300) | move 264.1ms | target 0.3ms (114 calls) | path 214.4ms max 5.01ms (51 calls) | fog 56.2ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:45 | tick avg 1.13ms max 10.83ms (n=300) | move 241.7ms | target 0.2ms (113 calls) | path 194.3ms max 5.15ms (48 calls) | fog 55.9ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:47 | tick avg 1.47ms max 44.13ms (n=295) | move 333.4ms | target 0.2ms (88 calls) | path 281.7ms max 6.20ms (65 calls) | fog 56.5ms | minimap 0.3ms | ai 1.2ms | window 5.0s
[PERF] units H:32 E:47 | tick avg 1.64ms max 38.59ms (n=288) | move 374.9ms | target 0.1ms (67 calls) | path 323.2ms max 7.06ms (70 calls) | fog 50.5ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:47 | tick avg 1.94ms max 40.82ms (n=283) | move 446.2ms | target 0.1ms (60 calls) | path 396.2ms max 7.28ms (71 calls) | fog 55.7ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:47 | tick avg 1.75ms max 40.97ms (n=287) | move 403.6ms | target 0.1ms (44 calls) | path 358.7ms max 7.72ms (70 calls) | fog 49.8ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:33 E:47 | tick avg 1.82ms max 38.89ms (n=286) | move 424.8ms | target 0.1ms (62 calls) | path 378.6ms max 6.92ms (74 calls) | fog 54.6ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:34 E:47 | tick avg 1.68ms max 38.99ms (n=288) | move 392.8ms | target 0.1ms (46 calls) | path 346.0ms max 6.93ms (66 calls) | fog 49.1ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:34 E:49 | tick avg 1.24ms max 36.74ms (n=297) | move 270.0ms | target 1.7ms (863 calls) | path 223.6ms max 6.20ms (54 calls) | fog 54.2ms | minimap 0.3ms | ai 1.5ms | window 5.0s
[PERF] units H:36 E:50 | tick avg 1.71ms max 27.83ms (n=297) | move 409.2ms | target 1.6ms (745 calls) | path 358.4ms max 4.95ms (86 calls) | fog 54.1ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 1.48ms max 13.40ms (n=300) | move 344.7ms | target 3.5ms (1520 calls) | path 287.9ms max 4.96ms (78 calls) | fog 54.4ms | minimap 0.4ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 1.86ms max 14.12ms (n=300) | move 451.5ms | target 0.3ms (135 calls) | path 397.2ms max 4.88ms (102 calls) | fog 56.0ms | minimap 0.4ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 1.73ms max 17.86ms (n=300) | move 416.9ms | target 0.2ms (81 calls) | path 362.6ms max 4.96ms (95 calls) | fog 56.4ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 1.00ms max 13.35ms (n=301) | move 207.1ms | target 0.2ms (88 calls) | path 157.8ms max 4.89ms (43 calls) | fog 49.7ms | minimap 0.4ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.82ms max 10.70ms (n=300) | move 147.4ms | target 0.2ms (93 calls) | path 102.1ms max 4.98ms (27 calls) | fog 54.7ms | minimap 0.4ms | ai 0.9ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.79ms max 9.95ms (n=300) | move 131.9ms | target 0.2ms (89 calls) | path 80.3ms max 4.92ms (25 calls) | fog 55.8ms | minimap 0.4ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.78ms max 6.01ms (n=301) | move 142.6ms | target 0.2ms (85 calls) | path 95.1ms max 4.99ms (26 calls) | fog 49.3ms | minimap 0.3ms | ai 0.2ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.53ms max 6.00ms (n=300) | move 62.8ms | target 1.4ms (605 calls) | path 14.7ms max 4.95ms (6 calls) | fog 53.9ms | minimap 0.3ms | ai 0.3ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.62ms max 6.58ms (n=300) | move 86.8ms | target 0.6ms (257 calls) | path 37.8ms max 4.00ms (13 calls) | fog 55.3ms | minimap 0.4ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.70ms max 10.05ms (n=301) | move 112.8ms | target 0.3ms (107 calls) | path 62.3ms max 4.13ms (22 calls) | fog 54.6ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.68ms max 5.86ms (n=301) | move 105.9ms | target 0.9ms (394 calls) | path 55.5ms max 5.04ms (28 calls) | fog 54.6ms | minimap 0.3ms | ai 2.3ms | window 5.0s
